iter	RMSE
0	14.61840273
1	14.24923312
2	13.90182089
3	13.56965751
4	13.21813324
5	12.87766915
6	12.60094572
7	12.30990148
8	12.02255494
9	11.74885767
10	11.50452691
11	11.28041387
12	11.03293286
13	10.79848245
14	10.56070532
15	10.32201325
16	10.12946456
17	9.91846997
18	9.71526746
19	9.519952706
20	9.339609628
21	9.16395548
22	9.013956979
23	8.847284645
24	8.713947105
25	8.569304051
26	8.437364042
27	8.316802857
28	8.179195178
29	8.057538492
30	7.955798557
31	7.841586126
32	7.726888871
33	7.618089792
34	7.528943287
35	7.430217175
36	7.338074232
37	7.248620995
38	7.158820217
39	7.081860503
40	6.999718555
41	6.939337185
42	6.866739025
43	6.800026187
44	6.734830608
45	6.667172925
46	6.613030709
47	6.561261141
48	6.503244446
49	6.447969931
50	6.397727361
51	6.356139726
52	6.308643885
53	6.263511989
54	6.225281986
55	6.185498113
56	6.151652526
57	6.111485651
58	6.077020887
59	6.038716705
60	6.009225669
61	5.976288245
62	5.943755976
63	5.912313158
64	5.880093508
65	5.853093316
66	5.825774591
67	5.799601392
68	5.778726266
69	5.756221875
70	5.734428546
71	5.714565431
72	5.68978697
73	5.665438055
74	5.644061884
75	5.627823576
76	5.609552479
77	5.597629723
78	5.57836272
79	5.562997508
80	5.54507544
81	5.528654451
82	5.513890866
83	5.493664034
84	5.47639589
85	5.463878397
86	5.45112915
87	5.441275129
88	5.43116516
89	5.417487827
90	5.403940845
91	5.394651676
92	5.3831013
93	5.372934159
94	5.358796437
95	5.346521859
96	5.334090056
97	5.325183269
98	5.313791394
99	5.303985929
100	5.297836894
101	5.290050005
102	5.282340666
103	5.27034746
104	5.263372567
105	5.253023987
106	5.244185028
107	5.237331643
108	5.23014088
109	5.225617974
110	5.214631422
111	5.208356201
112	5.201888834
113	5.197321578
114	5.191822148
115	5.187785268
116	5.180281863
117	5.173263116
118	5.166916171
119	5.156800075
120	5.15223655
121	5.144342438
122	5.135048255
123	5.129560122
124	5.124416079
125	5.119075784
126	5.113397932
127	5.109988107
128	5.102546616
129	5.092528818
130	5.08659301
131	5.07858737
132	5.069941527
133	5.062790926
134	5.057800561
135	5.050647005
136	5.044560184
137	5.038708529
138	5.033743628
139	5.029532025
140	5.027960582
141	5.019064862
142	5.01052462
143	5.006764548
144	5.002821354
145	4.998631929
146	4.995072644
147	4.992578306
148	4.988077683
149	4.983016414
150	4.979638308
151	4.97464965
152	4.97069099
153	4.967105811
154	4.958361862
155	4.955646214
156	4.951042725
157	4.947081295
158	4.943680648
159	4.94198868
160	4.939540796
161	4.936646974
162	4.928332184
163	4.923158129
164	4.919365146
165	4.917011537
166	4.913614316
167	4.910191525
168	4.906078661
169	4.898256226
170	4.894356912
171	4.889421364
172	4.887478324
173	4.883598745
174	4.877834949
175	4.874227373
176	4.871875237
177	4.868382273
178	4.866238709
179	4.860394991
180	4.857550158
181	4.851994933
182	4.847542445
183	4.843177146
184	4.838295687
185	4.834176776
186	4.829505215
187	4.826555906
188	4.824230067
189	4.81956046
190	4.81598863
191	4.812171749
192	4.809262098
193	4.806521347
194	4.803859652
195	4.800811465
196	4.797696136
197	4.794073092
198	4.792159559
199	4.787318874
200	4.783239093
201	4.77813436
202	4.772528873
203	4.767576809
204	4.764940622
205	4.763248503
206	4.759428819
207	4.758457514
208	4.755866721
209	4.749796347
210	4.746103273
211	4.744612208
212	4.740298891
213	4.738108482
214	4.734143318
215	4.728948747
216	4.724989411
217	4.721281071
218	4.718391
219	4.714249126
220	4.713344641
221	4.709936204
222	4.706919585
223	4.705585106
224	4.700742471
225	4.696484996
226	4.691729807
227	4.687217003
228	4.683852236
229	4.680091882
230	4.677942739
231	4.677226874
232	4.673894112
233	4.668580623
234	4.666637775
235	4.663735458
236	4.659397098
237	4.657647969
238	4.648788985
239	4.646917772
240	4.644027552
241	4.639469654
242	4.637579223
243	4.633950288
244	4.631093095
245	4.628248883
246	4.626584984
247	4.626177967
248	4.624514108
249	4.621888615
250	4.621499528
251	4.616228379
252	4.61116647
253	4.607850846
254	4.601085249
255	4.596473024
256	4.59358806
257	4.590151083
258	4.588454423
259	4.585639555
260	4.582239473
261	4.579625359
262	4.578006855
263	4.576553828
264	4.573254252
265	4.570974029
266	4.567458686
267	4.561649621
268	4.556178356
269	4.553073529
270	4.547634042
271	4.540018486
272	4.539162983
273	4.538861759
274	4.535641698
275	4.532118148
276	4.531222455
277	4.526167926
278	4.523032382
279	4.516682874
280	4.514627004
281	4.514324578
282	4.511928715
283	4.509359789
284	4.509068593
285	4.508384613
286	4.503696461
287	4.501801159
288	4.49819942
289	4.493739454
290	4.493162376
291	4.49010921
292	4.485119285
293	4.48469937
294	4.481308096
295	4.47732849
296	4.475381771
297	4.470953504
298	4.465588269
299	4.462576433
300	4.461269171
301	4.458567145
302	4.458343057
303	4.45766862
304	4.452830425
