iter	Passed	Remaining
0	4	4093
1	4	2236
2	4	1573
3	5	1246
4	5	1064
5	5	939
6	6	852
7	6	787
8	6	727
9	6	674
10	7	631
11	7	600
12	7	579
13	7	553
14	8	530
15	8	509
16	8	489
17	8	474
18	8	461
19	9	451
20	9	441
21	9	433
22	10	431
23	10	423
24	10	417
25	10	409
26	11	402
27	11	404
28	11	397
29	12	391
30	12	389
31	12	386
32	12	380
33	13	376
34	13	371
35	13	365
36	13	361
37	14	356
38	14	352
39	14	347
40	14	343
41	14	340
42	15	338
43	15	334
44	15	333
45	16	331
46	16	329
47	16	327
48	16	326
49	17	327
50	17	325
51	17	326
52	18	325
53	18	323
54	18	320
55	18	318
56	19	315
57	19	313
58	19	310
59	19	308
60	19	305
61	20	303
62	20	301
63	20	299
64	20	298
65	20	296
66	21	295
67	21	294
68	21	293
69	22	292
70	22	292
71	22	292
72	22	290
73	23	290
74	23	288
75	23	288
76	24	288
77	24	285
78	24	283
79	24	282
80	24	280
81	25	281
82	25	281
83	25	282
84	26	281
85	26	280
86	26	279
87	26	277
88	27	276
89	27	275
90	27	274
91	27	273
92	27	272
93	28	270
94	28	270
95	28	270
96	28	269
97	29	271
98	29	270
99	29	269
100	30	268
101	30	267
102	30	267
103	30	266
104	31	265
105	31	265
106	31	264
107	32	265
108	32	264
109	32	263
110	32	262
111	33	261
112	33	260
113	33	259
114	33	258
115	33	257
116	34	256
117	34	256
118	34	256
119	34	255
120	35	254
121	35	253
122	35	252
123	35	252
124	36	252
125	36	252
126	36	252
127	37	252
128	37	251
129	37	251
130	37	250
131	37	249
132	38	249
133	38	248
134	38	247
135	38	246
136	39	246
137	39	246
138	39	245
139	40	245
140	40	244
141	40	244
142	40	243
143	40	242
144	41	242
145	41	241
146	41	240
147	41	240
148	42	240
149	42	239
150	42	238
151	42	238
152	42	237
153	43	236
154	43	236
155	43	235
156	43	234
157	44	235
158	44	235
159	44	235
160	45	235
161	45	234
162	45	234
163	45	233
164	46	232
165	46	232
166	46	231
167	46	230
168	46	230
169	47	230
170	47	229
171	47	229
172	47	228
173	48	228
174	48	227
175	48	227
176	48	227
177	49	226
178	49	226
179	49	225
180	49	224
181	49	224
182	50	224
183	50	223
184	50	222
185	50	222
186	51	221
187	51	221
188	51	220
189	51	220
190	51	219
191	52	219
192	52	218
193	52	218
194	52	217
195	53	217
196	53	217
197	53	217
198	53	216
199	54	216
200	54	215
201	54	215
202	54	214
203	54	214
204	55	213
205	55	213
206	55	212
207	55	213
208	56	212
209	56	212
210	56	212
211	57	211
212	57	212
213	57	211
214	57	211
215	58	210
216	58	210
217	58	210
218	58	210
219	59	209
220	59	209
221	59	208
222	59	209
223	60	208
224	60	208
225	60	207
226	60	207
227	61	206
228	61	206
229	61	205
230	61	205
231	62	205
232	62	205
233	62	204
234	62	204
235	63	204
236	63	203
237	63	203
238	63	203
239	63	202
240	64	202
241	64	201
242	64	201
243	65	201
244	65	201
245	65	200
246	65	200
247	65	199
248	66	199
249	66	198
250	66	198
251	66	198
252	67	197
253	67	197
254	67	197
255	67	196
256	67	196
257	68	195
258	68	195
259	68	195
260	69	195
261	69	195
262	69	195
263	70	195
264	70	194
265	70	194
266	70	194
267	71	194
268	71	193
269	71	193
270	71	193
271	71	192
272	72	192
273	72	192
274	72	191
275	73	191
276	73	191
277	73	190
278	73	190
279	73	190
280	74	189
281	74	189
282	74	189
283	74	189
284	75	188
285	75	188
286	75	187
287	75	187
288	76	187
289	76	186
290	76	186
291	76	185
292	76	185
293	77	185
294	77	184
295	77	184
296	77	184
297	78	184
298	78	183
299	78	183
300	78	183
301	79	182
302	79	182
303	79	181
304	79	181
305	79	181
306	80	180
307	80	180
308	80	180
309	80	179
310	80	179
311	81	178
312	81	178
313	81	178
314	81	177
315	81	177
316	82	177
317	82	176
318	82	176
319	82	176
320	83	175
321	83	175
322	83	175
323	83	175
324	84	174
325	84	174
326	84	174
327	84	174
328	85	173
329	85	173
330	85	173
331	85	172
332	86	172
333	86	172
334	86	171
335	87	172
336	87	172
337	87	172
338	88	171
339	88	171
340	88	171
341	88	170
342	89	170
343	89	170
344	89	169
345	89	169
346	90	169
347	90	169
348	90	168
349	90	168
350	90	168
351	91	167
352	91	167
353	91	167
354	91	166
355	92	166
356	92	166
357	92	166
358	92	165
359	93	165
360	93	165
361	93	164
362	93	164
363	94	164
364	94	163
365	94	163
366	94	163
367	94	163
368	95	162
369	95	162
370	95	162
371	95	161
372	96	161
373	96	161
374	96	160
375	96	160
376	96	160
377	97	159
378	97	159
379	97	159
380	97	159
381	98	158
382	98	158
383	98	158
384	98	157
385	99	157
386	99	157
387	99	156
388	99	156
389	100	156
390	100	156
391	100	156
392	101	156
393	101	156
394	102	156
395	102	156
396	102	155
397	102	155
398	103	155
399	103	155
400	103	154
401	103	154
402	103	154
403	104	153
404	104	153
405	104	153
